{'loss': 4.3356, 'learning_rate': 4.981237992315082e-05, 'epoch': 0.01}
{'loss': 3.2902, 'learning_rate': 3.9305655619596546e-05, 'epoch': 0.64}
{'loss': 3.2916, 'learning_rate': 3.911803554274736e-05, 'epoch': 0.65}
{'loss': 3.2965, 'learning_rate': 3.893041546589818e-05, 'epoch': 0.66}
{'loss': 3.2919, 'learning_rate': 3.874279538904899e-05, 'epoch': 0.68}
{'loss': 3.3055, 'learning_rate': 3.855517531219981e-05, 'epoch': 0.69}
{'loss': 3.2789, 'learning_rate': 3.836755523535063e-05, 'epoch': 0.7}
{'loss': 3.2794, 'learning_rate': 3.8179935158501446e-05, 'epoch': 0.71}
{'loss': 3.2559, 'learning_rate': 3.7992315081652255e-05, 'epoch': 0.72}
{'loss': 3.2412, 'learning_rate': 3.780469500480308e-05, 'epoch': 0.73}
{'loss': 3.2879, 'learning_rate': 3.761707492795389e-05, 'epoch': 0.74}
{'loss': 3.2629, 'learning_rate': 3.742945485110471e-05, 'epoch': 0.75}
{'loss': 3.253, 'learning_rate': 3.7241834774255523e-05, 'epoch': 0.77}
{'loss': 3.2463, 'learning_rate': 3.705421469740634e-05, 'epoch': 0.78}
{'loss': 3.252, 'learning_rate': 3.686659462055716e-05, 'epoch': 0.79}
{'loss': 3.2409, 'learning_rate': 3.667897454370797e-05, 'epoch': 0.8}
{'loss': 3.2391, 'learning_rate': 3.649135446685879e-05, 'epoch': 0.81}
{'loss': 3.245, 'learning_rate': 3.630373439000961e-05, 'epoch': 0.82}
{'loss': 3.2214, 'learning_rate': 3.611611431316042e-05, 'epoch': 0.83}
{'loss': 3.215, 'learning_rate': 3.592849423631124e-05, 'epoch': 0.84}
{'loss': 3.2171, 'learning_rate': 3.5740874159462054e-05, 'epoch': 0.86}
{'loss': 3.2004, 'learning_rate': 3.5553254082612876e-05, 'epoch': 0.87}
{'loss': 3.2331, 'learning_rate': 3.536563400576369e-05, 'epoch': 0.88}
{'loss': 3.2114, 'learning_rate': 3.517801392891451e-05, 'epoch': 0.89}
{'loss': 3.2157, 'learning_rate': 3.499039385206532e-05, 'epoch': 0.9}
{'loss': 3.1879, 'learning_rate': 3.480277377521614e-05, 'epoch': 0.91}
{'loss': 3.2036, 'learning_rate': 3.461515369836696e-05, 'epoch': 0.92}
{'loss': 3.2053, 'learning_rate': 3.442753362151777e-05, 'epoch': 0.93}
{'loss': 3.1987, 'learning_rate': 3.423991354466859e-05, 'epoch': 0.95}
{'loss': 3.2197, 'learning_rate': 3.405229346781941e-05, 'epoch': 0.96}
{'loss': 3.1806, 'learning_rate': 3.386467339097022e-05, 'epoch': 0.97}
{'loss': 3.2092, 'learning_rate': 3.367705331412104e-05, 'epoch': 0.98}
{'loss': 3.1869, 'learning_rate': 3.3489433237271854e-05, 'epoch': 0.99}
{'loss': 3.1833, 'learning_rate': 3.3301813160422676e-05, 'epoch': 1.0}
{'loss': 3.1628, 'learning_rate': 3.3114193083573485e-05, 'epoch': 1.01}
{'loss': 3.1592, 'learning_rate': 3.292657300672431e-05, 'epoch': 1.02}
{'loss': 3.1707, 'learning_rate': 3.273895292987512e-05, 'epoch': 1.04}
{'loss': 3.1409, 'learning_rate': 3.255133285302594e-05, 'epoch': 1.05}
{'loss': 3.1549, 'learning_rate': 3.236371277617675e-05, 'epoch': 1.06}
{'loss': 3.1322, 'learning_rate': 3.217609269932757e-05, 'epoch': 1.07}
{'loss': 3.1774, 'learning_rate': 3.198847262247839e-05, 'epoch': 1.08}
{'loss': 3.1361, 'learning_rate': 3.1800852545629207e-05, 'epoch': 1.09}
{'loss': 3.1219, 'learning_rate': 3.1613232468780015e-05, 'epoch': 1.1}
{'loss': 3.1186, 'learning_rate': 3.142561239193084e-05, 'epoch': 1.11}
{'loss': 3.118, 'learning_rate': 3.123799231508165e-05, 'epoch': 1.13}
{'loss': 3.1476, 'learning_rate': 3.1050372238232475e-05, 'epoch': 1.14}
{'loss': 3.1269, 'learning_rate': 3.0862752161383284e-05, 'epoch': 1.15}
{'loss': 3.1202, 'learning_rate': 3.06751320845341e-05, 'epoch': 1.16}
{'loss': 3.0911, 'learning_rate': 3.0487512007684922e-05, 'epoch': 1.17}
{'loss': 3.106, 'learning_rate': 3.0299891930835737e-05, 'epoch': 1.18}
{'loss': 3.1179, 'learning_rate': 3.0112271853986553e-05, 'epoch': 1.19}
{'loss': 3.1033, 'learning_rate': 2.9924651777137368e-05, 'epoch': 1.2}
{'loss': 3.1321, 'learning_rate': 2.9737031700288187e-05, 'epoch': 1.22}
{'loss': 3.1213, 'learning_rate': 2.9549411623439006e-05, 'epoch': 1.23}
{'loss': 3.1308, 'learning_rate': 2.9361791546589818e-05, 'epoch': 1.24}
{'loss': 3.0783, 'learning_rate': 2.9174171469740637e-05, 'epoch': 1.25}
{'loss': 3.081, 'learning_rate': 2.8986551392891452e-05, 'epoch': 1.26}
{'loss': 3.1032, 'learning_rate': 2.8798931316042265e-05, 'epoch': 1.27}
{'loss': 3.1004, 'learning_rate': 2.8611311239193083e-05, 'epoch': 1.28}
{'loss': 3.0809, 'learning_rate': 2.8423691162343902e-05, 'epoch': 1.29}
{'loss': 3.1112, 'learning_rate': 2.823607108549472e-05, 'epoch': 1.31}
{'loss': 3.1052, 'learning_rate': 2.8048451008645533e-05, 'epoch': 1.32}
{'loss': 3.1064, 'learning_rate': 2.786083093179635e-05, 'epoch': 1.33}
{'loss': 3.0934, 'learning_rate': 2.7673210854947168e-05, 'epoch': 1.34}
{'loss': 3.0909, 'learning_rate': 2.7485590778097987e-05, 'epoch': 1.35}
{'loss': 3.0985, 'learning_rate': 2.72979707012488e-05, 'epoch': 1.36}
{'loss': 3.0976, 'learning_rate': 2.7110350624399618e-05, 'epoch': 1.37}
{'loss': 3.099, 'learning_rate': 2.6922730547550433e-05, 'epoch': 1.38}
{'loss': 3.0681, 'learning_rate': 2.6735110470701252e-05, 'epoch': 1.4}
{'loss': 3.0971, 'learning_rate': 2.6547490393852064e-05, 'epoch': 1.41}
{'loss': 3.075, 'learning_rate': 2.6359870317002883e-05, 'epoch': 1.42}
{'loss': 3.0575, 'learning_rate': 2.6172250240153702e-05, 'epoch': 1.43}
{'loss': 3.0871, 'learning_rate': 2.5984630163304517e-05, 'epoch': 1.44}
{'loss': 3.0534, 'learning_rate': 2.579701008645533e-05, 'epoch': 1.45}
{'loss': 3.1001, 'learning_rate': 2.5609390009606148e-05, 'epoch': 1.46}
{'loss': 3.057, 'learning_rate': 2.5421769932756967e-05, 'epoch': 1.47}
{'loss': 3.067, 'learning_rate': 2.5234149855907786e-05, 'epoch': 1.49}
{'loss': 3.0482, 'learning_rate': 2.5046529779058598e-05, 'epoch': 1.5}
{'loss': 3.0599, 'learning_rate': 2.4858909702209414e-05, 'epoch': 1.51}
{'loss': 3.0764, 'learning_rate': 2.467128962536023e-05, 'epoch': 1.52}
{'loss': 3.0422, 'learning_rate': 2.4483669548511048e-05, 'epoch': 1.53}
{'loss': 3.0522, 'learning_rate': 2.4296049471661863e-05, 'epoch': 1.54}
{'loss': 3.0539, 'learning_rate': 2.4108429394812682e-05, 'epoch': 1.55}
{'loss': 3.0462, 'learning_rate': 2.3920809317963498e-05, 'epoch': 1.56}
{'loss': 3.0723, 'learning_rate': 2.3733189241114313e-05, 'epoch': 1.58}
{'loss': 3.061, 'learning_rate': 2.354556916426513e-05, 'epoch': 1.59}
{'loss': 3.0379, 'learning_rate': 2.3357949087415948e-05, 'epoch': 1.6}
{'loss': 3.0413, 'learning_rate': 2.3170329010566763e-05, 'epoch': 1.61}
{'loss': 3.0565, 'learning_rate': 2.2982708933717582e-05, 'epoch': 1.62}
{'loss': 3.0646, 'learning_rate': 2.2795088856868398e-05, 'epoch': 1.63}
{'loss': 3.0458, 'learning_rate': 2.2607468780019213e-05, 'epoch': 1.64}
{'loss': 3.039, 'learning_rate': 2.241984870317003e-05, 'epoch': 1.65}
{'loss': 3.0469, 'learning_rate': 2.2232228626320847e-05, 'epoch': 1.67}
{'loss': 3.0398, 'learning_rate': 2.2044608549471663e-05, 'epoch': 1.68}
{'loss': 3.0291, 'learning_rate': 2.1856988472622482e-05, 'epoch': 1.69}
{'loss': 3.0304, 'learning_rate': 2.1669368395773297e-05, 'epoch': 1.7}
{'loss': 3.0179, 'learning_rate': 2.1481748318924113e-05, 'epoch': 1.71}
{'loss': 3.0522, 'learning_rate': 2.1294128242074928e-05, 'epoch': 1.72}
{'loss': 3.0547, 'learning_rate': 2.1106508165225747e-05, 'epoch': 1.73}
{'loss': 3.015, 'learning_rate': 2.0918888088376563e-05, 'epoch': 1.74}
{'loss': 3.0123, 'learning_rate': 2.0731268011527378e-05, 'epoch': 1.76}
{'loss': 3.0272, 'learning_rate': 2.0543647934678194e-05, 'epoch': 1.77}
{'loss': 3.0297, 'learning_rate': 2.035602785782901e-05, 'epoch': 1.78}
{'loss': 3.0297, 'learning_rate': 2.0168407780979828e-05, 'epoch': 1.79}
{'loss': 3.035, 'learning_rate': 1.9980787704130643e-05, 'epoch': 1.8}
{'loss': 3.0109, 'learning_rate': 1.9793167627281462e-05, 'epoch': 1.81}
{'loss': 3.0292, 'learning_rate': 1.9605547550432278e-05, 'epoch': 1.82}
{'loss': 3.0189, 'learning_rate': 1.9417927473583093e-05, 'epoch': 1.83}
{'loss': 2.9902, 'learning_rate': 1.923030739673391e-05, 'epoch': 1.85}
{'loss': 3.0265, 'learning_rate': 1.9042687319884728e-05, 'epoch': 1.86}
{'loss': 3.0427, 'learning_rate': 1.8855067243035543e-05, 'epoch': 1.87}
{'loss': 3.023, 'learning_rate': 1.8667447166186362e-05, 'epoch': 1.88}
{'loss': 3.0187, 'learning_rate': 1.8479827089337178e-05, 'epoch': 1.89}
{'loss': 3.0031, 'learning_rate': 1.8292207012487993e-05, 'epoch': 1.9}
{'loss': 2.996, 'learning_rate': 1.810458693563881e-05, 'epoch': 1.91}
{'loss': 3.0286, 'learning_rate': 1.7916966858789627e-05, 'epoch': 1.92}
{'loss': 3.0078, 'learning_rate': 1.7729346781940443e-05, 'epoch': 1.94}
{'loss': 3.0138, 'learning_rate': 1.7541726705091262e-05, 'epoch': 1.95}
{'loss': 3.0224, 'learning_rate': 1.7354106628242074e-05, 'epoch': 1.96}
{'loss': 2.9915, 'learning_rate': 1.7166486551392893e-05, 'epoch': 1.97}
{'loss': 2.9744, 'learning_rate': 1.6978866474543708e-05, 'epoch': 1.98}
{'loss': 2.9648, 'learning_rate': 1.6791246397694527e-05, 'epoch': 1.99}
{'loss': 3.0068, 'learning_rate': 1.6603626320845343e-05, 'epoch': 2.0}
{'loss': 3.0016, 'learning_rate': 1.6416006243996158e-05, 'epoch': 2.02}
{'loss': 2.9728, 'learning_rate': 1.6228386167146974e-05, 'epoch': 2.03}
{'loss': 2.9912, 'learning_rate': 1.604076609029779e-05, 'epoch': 2.04}
{'loss': 2.9925, 'learning_rate': 1.5853146013448608e-05, 'epoch': 2.05}
{'loss': 2.9757, 'learning_rate': 1.5665525936599423e-05, 'epoch': 2.06}
{'loss': 2.9759, 'learning_rate': 1.5477905859750242e-05, 'epoch': 2.07}
{'loss': 2.9654, 'learning_rate': 1.5290285782901058e-05, 'epoch': 2.08}
{'loss': 2.9632, 'learning_rate': 1.5102665706051875e-05, 'epoch': 2.09}
{'loss': 2.9655, 'learning_rate': 1.491504562920269e-05, 'epoch': 2.11}
{'loss': 2.9666, 'learning_rate': 1.4727425552353508e-05, 'epoch': 2.12}
{'loss': 2.9912, 'learning_rate': 1.4539805475504323e-05, 'epoch': 2.13}
{'loss': 2.9634, 'learning_rate': 1.435218539865514e-05, 'epoch': 2.14}
{'loss': 2.97, 'learning_rate': 1.4164565321805956e-05, 'epoch': 2.15}
{'loss': 2.9558, 'learning_rate': 1.3976945244956775e-05, 'epoch': 2.16}
{'loss': 2.9559, 'learning_rate': 1.3789325168107589e-05, 'epoch': 2.17}
{'loss': 2.9715, 'learning_rate': 1.3601705091258407e-05, 'epoch': 2.18}
{'loss': 2.9831, 'learning_rate': 1.3414085014409223e-05, 'epoch': 2.2}
{'loss': 2.9719, 'learning_rate': 1.322646493756004e-05, 'epoch': 2.21}
{'loss': 2.9824, 'learning_rate': 1.3038844860710856e-05, 'epoch': 2.22}
{'loss': 2.9461, 'learning_rate': 1.2851224783861673e-05, 'epoch': 2.23}
{'loss': 2.9485, 'learning_rate': 1.2663604707012488e-05, 'epoch': 2.24}
{'loss': 2.9729, 'learning_rate': 1.2475984630163305e-05, 'epoch': 2.25}
{'loss': 2.9545, 'learning_rate': 1.2288364553314121e-05, 'epoch': 2.26}
{'loss': 2.9696, 'learning_rate': 1.2100744476464938e-05, 'epoch': 2.27}
{'loss': 2.939, 'learning_rate': 1.1913124399615755e-05, 'epoch': 2.29}
{'loss': 2.9686, 'learning_rate': 1.172550432276657e-05, 'epoch': 2.3}
{'loss': 2.9641, 'learning_rate': 1.1537884245917388e-05, 'epoch': 2.31}
{'loss': 2.9669, 'learning_rate': 1.1350264169068205e-05, 'epoch': 2.32}
{'loss': 2.9484, 'learning_rate': 1.116264409221902e-05, 'epoch': 2.33}
{'loss': 2.9573, 'learning_rate': 1.0975024015369838e-05, 'epoch': 2.34}
{'loss': 2.9394, 'learning_rate': 1.0787403938520655e-05, 'epoch': 2.35}
{'loss': 2.9234, 'learning_rate': 1.059978386167147e-05, 'epoch': 2.36}
{'loss': 2.9512, 'learning_rate': 1.0412163784822286e-05, 'epoch': 2.38}
{'loss': 2.9621, 'learning_rate': 1.0224543707973103e-05, 'epoch': 2.39}
{'loss': 2.9537, 'learning_rate': 1.0036923631123919e-05, 'epoch': 2.4}
{'loss': 2.9658, 'learning_rate': 9.849303554274736e-06, 'epoch': 2.41}
{'loss': 2.9334, 'learning_rate': 9.661683477425553e-06, 'epoch': 2.42}
{'loss': 2.9689, 'learning_rate': 9.474063400576369e-06, 'epoch': 2.43}
{'loss': 2.9525, 'learning_rate': 9.286443323727186e-06, 'epoch': 2.44}
{'loss': 2.9562, 'learning_rate': 9.098823246878003e-06, 'epoch': 2.45}
{'loss': 2.9794, 'learning_rate': 8.911203170028818e-06, 'epoch': 2.47}
{'loss': 2.9571, 'learning_rate': 8.723583093179636e-06, 'epoch': 2.48}
{'loss': 2.9345, 'learning_rate': 8.535963016330451e-06, 'epoch': 2.49}
{'loss': 2.9337, 'learning_rate': 8.348342939481268e-06, 'epoch': 2.5}
{'loss': 2.9296, 'learning_rate': 8.160722862632085e-06, 'epoch': 2.51}
{'loss': 2.9413, 'learning_rate': 7.973102785782901e-06, 'epoch': 2.52}
{'loss': 2.9392, 'learning_rate': 7.785482708933718e-06, 'epoch': 2.53}
{'loss': 2.9368, 'learning_rate': 7.597862632084534e-06, 'epoch': 2.54}
{'loss': 2.9387, 'learning_rate': 7.410242555235352e-06, 'epoch': 2.56}
{'loss': 2.9394, 'learning_rate': 7.222622478386168e-06, 'epoch': 2.57}
{'loss': 2.9362, 'learning_rate': 7.035002401536984e-06, 'epoch': 2.58}
{'loss': 2.9388, 'learning_rate': 6.8473823246878015e-06, 'epoch': 2.59}
{'loss': 2.9239, 'learning_rate': 6.659762247838618e-06, 'epoch': 2.6}
{'loss': 2.9374, 'learning_rate': 6.472142170989434e-06, 'epoch': 2.61}
{'loss': 2.9423, 'learning_rate': 6.28452209414025e-06, 'epoch': 2.62}
{'loss': 2.9543, 'learning_rate': 6.096902017291067e-06, 'epoch': 2.63}
{'loss': 2.9558, 'learning_rate': 5.909281940441883e-06, 'epoch': 2.65}
{'loss': 2.9638, 'learning_rate': 5.7216618635926995e-06, 'epoch': 2.66}
{'loss': 2.9539, 'learning_rate': 5.534041786743517e-06, 'epoch': 2.67}
{'loss': 2.958, 'learning_rate': 5.346421709894333e-06, 'epoch': 2.68}
{'loss': 2.9387, 'learning_rate': 5.1588016330451485e-06, 'epoch': 2.69}
{'loss': 2.9512, 'learning_rate': 4.971181556195966e-06, 'epoch': 2.7}
{'loss': 2.9706, 'learning_rate': 4.783561479346782e-06, 'epoch': 2.71}
{'loss': 2.9489, 'learning_rate': 4.595941402497598e-06, 'epoch': 2.72}
{'loss': 2.9569, 'learning_rate': 4.4083213256484155e-06, 'epoch': 2.74}
{'loss': 2.9258, 'learning_rate': 4.220701248799232e-06, 'epoch': 2.75}
{'loss': 2.9338, 'learning_rate': 4.033081171950048e-06, 'epoch': 2.76}
{'loss': 2.925, 'learning_rate': 3.8454610951008646e-06, 'epoch': 2.77}
{'loss': 2.9432, 'learning_rate': 3.6578410182516813e-06, 'epoch': 2.78}
{'loss': 2.8986, 'learning_rate': 3.470220941402498e-06, 'epoch': 2.79}
{'loss': 2.9104, 'learning_rate': 3.2826008645533144e-06, 'epoch': 2.8}
{'loss': 2.9465, 'learning_rate': 3.0949807877041307e-06, 'epoch': 2.81}
{'loss': 2.9358, 'learning_rate': 2.9073607108549475e-06, 'epoch': 2.83}
{'loss': 2.9432, 'learning_rate': 2.719740634005764e-06, 'epoch': 2.84}
{'loss': 2.9632, 'learning_rate': 2.53212055715658e-06, 'epoch': 2.85}
{'loss': 2.9221, 'learning_rate': 2.344500480307397e-06, 'epoch': 2.86}
{'loss': 2.9338, 'learning_rate': 2.1568804034582133e-06, 'epoch': 2.87}
{'loss': 2.9465, 'learning_rate': 1.96926032660903e-06, 'epoch': 2.88}
{'loss': 2.9689, 'learning_rate': 1.7816402497598466e-06, 'epoch': 2.89}
{'loss': 2.9106, 'learning_rate': 1.5940201729106627e-06, 'epoch': 2.9}
{'loss': 2.9186, 'learning_rate': 1.4064000960614793e-06, 'epoch': 2.92}
{'loss': 2.9326, 'learning_rate': 1.2187800192122958e-06, 'epoch': 2.93}
{'loss': 2.9402, 'learning_rate': 1.0311599423631126e-06, 'epoch': 2.94}
{'loss': 2.9493, 'learning_rate': 8.435398655139289e-07, 'epoch': 2.95}
{'loss': 2.9309, 'learning_rate': 6.559197886647455e-07, 'epoch': 2.96}
{'loss': 2.9433, 'learning_rate': 4.6829971181556196e-07, 'epoch': 2.97}
{'loss': 2.9523, 'learning_rate': 2.806796349663785e-07, 'epoch': 2.98}
{'loss': 2.9238, 'learning_rate': 9.305955811719501e-08, 'epoch': 2.99}
{'train_runtime': 25985.4978, 'train_samples_per_second': 41.022, 'train_steps_per_second': 5.128, 'train_loss': 3.1462429827159695, 'epoch': 3.0}
***** train metrics *****
  epoch                    =        3.0
  train_loss               =     3.1462
  train_runtime            = 7:13:05.49
  train_samples            =     355325
  train_samples_per_second =     41.022
  train_steps_per_second   =      5.128
